2026-08-14 11:20:34 info: 	Clicking on Bredband nav toggle (Handla)
2026-08-14 11:20:34 info: 	Successfully clicked Bredband nav toggle (Handla)
2026-08-14 11:20:34 info: 	Clicking on Bredband dropdown link
2026-08-14 11:20:34 info: 	Successfully clicked Bredband dropdown link
2026-08-14 11:20:37 info: 	Filling text "Wrong address" in Bredband address search input
2026-08-14 11:20:38 info: 	Successfully filled text "Wrong address" in Bredband address search input
2026-08-14 11:20:38 info: 	Asserting text content for: Address-not-found alert is shown for an unrecognized address
2026-08-14 11:20:38 info: 	Assertion passed: Address-not-found alert is shown for an unrecognized address
2026-08-14 11:20:38 info: 	Asserting collection is empty for: Featured product grid stays empty for an unrecognized address
2026-08-14 11:20:38 info: 	Assertion passed: Featured product grid stays empty for an unrecognized address
