2026-08-14 11:24:36 info: 	Clicking on Bredband nav toggle (Handla)
2026-08-14 11:24:37 info: 	Successfully clicked Bredband nav toggle (Handla)
2026-08-14 11:24:37 info: 	Clicking on Bredband dropdown link
2026-08-14 11:24:37 info: 	Successfully clicked Bredband dropdown link
2026-08-14 11:24:38 info: 	Filling text "Kungsgatan 103, Uppsala" in Bredband address search input
2026-08-14 11:24:41 info: 	Successfully filled text "Kungsgatan 103, Uppsala" in Bredband address search input
2026-08-14 11:24:41 info: 	Asserting collection is not empty for: Featured product grid has results for a serviceable address
2026-08-14 11:24:42 info: 	Assertion passed: Featured product grid has results for a serviceable address
2026-08-14 11:24:42 info: 	Asserting text content for: Featured product grid contains the expected 5G broadband offer
2026-08-14 11:24:42 info: 	Assertion passed: Featured product grid contains the expected 5G broadband offer
