"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10204","shows featured products for a serviceable address","firefox","2026-08-14","passed","2026-08-14","Bredband address search","bredband.spec.js","",""
"","3311","shows no featured products before an address is searched","webkit","2026-08-14","passed","2026-08-14","Bredband address search","bredband.spec.js","",""
"","9679","shows featured products for a serviceable address","webkit","2026-08-14","passed","2026-08-14","Bredband address search","bredband.spec.js","",""
"","2289","shows no featured products before an address is searched","chromium","2026-08-14","passed","2026-08-14","Bredband address search","bredband.spec.js","",""
"","6666","shows an address-not-found message for an unrecognized address","webkit","2026-08-14","passed","2026-08-14","Bredband address search","bredband.spec.js","",""
"","6332","shows an address-not-found message for an unrecognized address","firefox","2026-08-14","passed","2026-08-14","Bredband address search","bredband.spec.js","",""
"","5962","shows an address-not-found message for an unrecognized address","chromium","2026-08-14","passed","2026-08-14","Bredband address search","bredband.spec.js","",""
"","7989","shows featured products for a serviceable address","chromium","2026-08-14","passed","2026-08-14","Bredband address search","bredband.spec.js","",""
"","2673","shows no featured products before an address is searched","firefox","2026-08-14","passed","2026-08-14","Bredband address search","bredband.spec.js","",""
