"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","9514","shows featured products for a serviceable address","webkit","2026-08-14","passed","2026-08-14","Bredband address search","bredband.spec.js","",""
"","6159","shows an address-not-found message for an unrecognized address","webkit","2026-08-14","passed","2026-08-14","Bredband address search","bredband.spec.js","",""
"","2939","shows no featured products before an address is searched","webkit","2026-08-14","passed","2026-08-14","Bredband address search","bredband.spec.js","",""
"","9804","shows featured products for a serviceable address","firefox","2026-08-14","passed","2026-08-14","Bredband address search","bredband.spec.js","",""
"","6419","shows an address-not-found message for an unrecognized address","firefox","2026-08-14","passed","2026-08-14","Bredband address search","bredband.spec.js","",""
"","2369","shows no featured products before an address is searched","chromium","2026-08-14","passed","2026-08-14","Bredband address search","bredband.spec.js","",""
"","9015","shows featured products for a serviceable address","chromium","2026-08-14","passed","2026-08-14","Bredband address search","bredband.spec.js","",""
"","2656","shows no featured products before an address is searched","firefox","2026-08-14","passed","2026-08-14","Bredband address search","bredband.spec.js","",""
"","5898","shows an address-not-found message for an unrecognized address","chromium","2026-08-14","passed","2026-08-14","Bredband address search","bredband.spec.js","",""
