"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","9108","shows featured products for a serviceable address","firefox","2026-08-14","passed","2026-08-14","Bredband address search","bredband.spec.js","",""
"","6863","shows an address-not-found message for an unrecognized address","webkit","2026-08-14","passed","2026-08-14","Bredband address search","bredband.spec.js","",""
"","2742","shows no featured products before an address is searched","webkit","2026-08-14","passed","2026-08-14","Bredband address search","bredband.spec.js","",""
"","5906","shows an address-not-found message for an unrecognized address","chromium","2026-08-14","passed","2026-08-14","Bredband address search","bredband.spec.js","",""
"","6441","shows an address-not-found message for an unrecognized address","firefox","2026-08-14","passed","2026-08-14","Bredband address search","bredband.spec.js","",""
"","8316","shows featured products for a serviceable address","chromium","2026-08-14","passed","2026-08-14","Bredband address search","bredband.spec.js","",""
"","2395","shows no featured products before an address is searched","firefox","2026-08-14","passed","2026-08-14","Bredband address search","bredband.spec.js","",""
"","12979","shows featured products for a serviceable address","webkit","2026-08-14","failed","2026-08-14","Bredband address search","bredband.spec.js","",""
"","2282","shows no featured products before an address is searched","chromium","2026-08-14","passed","2026-08-14","Bredband address search","bredband.spec.js","",""
